Order Tracker,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security,Side,Order Qty,Order Price,Order Value,Order Status,Remaining Qty,Reject Reason,Contra Broker,Account ID,Last Filled Quantity,Filled Qty,TIF,Expiry Date,Disclose Qty,Minimum Qty,Order Date and Time,Client Order Id,Last Change Time,Execution Id,Trader Report Id,Exchange Order Id,Exchange
HAYL.N0000,BUY,100,229.75,"22,975.00",FILLED,0,,ARR,CAS/92390-LI/0,100,100,DAY,,0,0,2026-01-22 05:18:06.0,92390LI0-wov8oHkRh,2026-01-22 10:48:06,E0Q0pnJO5NUM,,O0Q0ps9Qeky5,CSE
HAYL.N0000,BUY,100,229.75,"22,975.00",NEW,100,,,CAS/92390-LI/0,0,0,DAY,,100,0,2026-01-22 05:13:27.0,92390LI0-wov8oHkRh,2026-01-22 10:43:27,E0Q0pnJO5Msa,,O0Q0ps9Qeky5,CSE
TJL.N0000,BUY,500,34.20,"17,100.00",EXPIRED,0,Expired (end of day),,CAS/92390-LI/0,0,0,DAY,,0,0,2026-01-21 09:31:00.0,92390LI0-woloO9SP4,2026-01-21 15:02:16,E0Q06g9NQ8IL,,O0Q06kzPz7Bf,CSE
PALM.N0000,BUY,200,69.00,"13,800.00",EXPIRED,0,Expired (end of day),,CAS/92390-LI/0,0,0,DAY,,0,0,2026-01-21 09:31:00.0,92390LI0-wotJyNsgm,2026-01-21 15:02:08,E0Q06g9NQ7VQ,,O0Q06kzPz75d,CSE
TJL.N0000,BUY,500,34.20,"17,100.00",NEW,500,,,CAS/92390-LI/0,0,0,DAY,,500,0,2026-01-21 07:55:58.0,92390LI0-woloO9SP4,2026-01-21 13:25:58,E0Q06g9NPvAR,,O0Q06kzPz7Bf,CSE
TJL.N0000,BUY,500,34.20,"17,100.00",P.CHANGE,500,,,CAS/92390-LI/0,0,0,DAY,2026-01-21,500,0,2026-01-21 13:25:20.0,92390LI0-woloO9SP4,2026-01-21 13:25:58,,,O0Q06kzPz7Bf,CSE
TJL.N0000,BUY,100,34.00,"3,400.00",NEW,100,,,CAS/92390-LI/0,0,0,DAY,,100,0,2026-01-21 07:55:20.0,92390LI0-wom3ZFlww,2026-01-21 13:25:20,E0Q06g9NPv5a,,O0Q06kzPz7Bf,CSE
PALM.N0000,BUY,200,69.00,"13,800.00",NEW,200,,,CAS/92390-LI/0,0,0,DAY,,200,0,2026-01-21 07:53:30.0,92390LI0-wotJyNsgm,2026-01-21 13:23:30,E0Q06g9NPuqk,,O0Q06kzPz75d,CSE
TJL.N0000,BUY,500,34.00,"17,000.00",EXPIRED,0,Expired (end of day),,CAS/92390-LI/0,0,0,DAY,,0,0,2026-01-19 09:18:18.0,92390LI0-wo2ds3FFT,2026-01-19 14:49:46,E0PyeI9Gv4jc,,O0PyeMzJU7fv,CSE
TJL.N0000,BUY,100,34.20,"3,420.00",EXPIRED,0,Expired (end of day),,CAS/92390-LI/0,0,0,DAY,,0,0,2026-01-19 09:18:18.0,92390LI0-woHaAgxzH,2026-01-19 14:49:46,E0PyeI9Gv4jU,,O0PyeMzJU7Yg,CSE
