Order Tracker,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security,Side,Order Qty,Order Price,Order Value,Order Status,Remaining Qty,Reject Reason,Contra Broker,Account ID,Last Filled Quantity,Filled Qty,TIF,Expiry Date,Disclose Qty,Minimum Qty,Order Date and Time,Client Order Id,Last Change Time,Execution Id,Trader Report Id,Exchange Order Id,Exchange
HAYL.N0000,BUY,100,229.75,"22,975.00",FILLED,0,,ARR,CAS/92390-LI/0,100,100,DAY,,0,0,2026-01-22 05:18:06.0,92390LI0-wov8oHkRh,2026-01-22 10:48:06,E0Q0pnJO5NUM,,O0Q0ps9Qeky5,CSE
DOCK.N0000,BUY,50,107.00,"5,350.00",FILLED,0,,MSB,CAS/92390-LI/0,50,50,DAY,,0,0,2026-01-19 08:28:20.0,92390LI0-woTI1AURT,2026-01-19 13:58:21,E0PyeI9Guxl4,,O0PyeMzJU98A,CSE
DOCK.N0000,BUY,50,107.50,"5,375.00",FILLED,0,,MSB,CAS/92390-LI/0,50,50,DAY,,0,0,2026-01-19 08:28:20.0,92390LI0-wohmhqw62,2026-01-19 13:58:21,E0PyeI9GuxkT,,O0PyeMzJU96Q,CSE
DOCK.N0000,BUY,50,110.00,"5,500.00",FILLED,0,,FWS,CAS/92390-LI/0,50,50,DAY,,0,0,2026-01-19 07:46:05.0,92390LI0-woPZlbZM1,2026-01-19 13:16:06,E0PyeI9Gut7r,,O0PyeMzJU8Uc,CSE
DOCK.N0000,BUY,50,111.00,"5,550.00",FILLED,0,,FWS,CAS/92390-LI/0,50,50,DAY,,0,0,2026-01-19 07:46:05.0,92390LI0-wovqpWdOZ,2026-01-19 13:16:05,E0PyeI9Gut4P,,O0PyeMzJU8Tr,CSE
SMOT.N0000,BUY,5,"1,666.00","8,330.00",FILLED,0,,ASI,CAS/92390-LI/0,5,5,DAY,,0,0,2026-01-19 07:36:03.0,92390LI0-wo3IHM3bn,2026-01-19 13:06:03,E0PyeI9Gus3L,,O0PyeMzJU85c,CSE
SMOT.N0000,BUY,5,"1,666.00","8,330.00",FILLED,0,,ASI,CAS/92390-LI/0,5,5,DAY,,0,0,2026-01-19 07:36:03.0,92390LI0-woAADILWB,2026-01-19 13:06:03,E0PyeI9Gus3J,,O0PyeMzJU7yi,CSE
TJL.N0000,BUY,500,35.30,"17,650.00",FILLED,0,,ASI,CAS/92390-LI/0,500,500,DAY,,0,0,2026-01-19 06:30:42.0,92390LI0-woLy28gAr,2026-01-19 12:00:42,E0PyeI9Gulrr,,O0PyeMzJTv8X,CSE
DOCK.N0000,BUY,100,115.50,"11,550.00",FILLED,0,,ASI,CAS/92390-LI/0,100,100,DAY,,0,0,2026-01-16 08:55:00.0,92390LI0-woasR2jyA,2026-01-16 14:25:01,E0PwTj3eeVIU,,O0PwTnthDhB3,CSE
DOCK.N0000,BUY,50,115.75,"5,787.50",FILLED,0,,ASI,CAS/92390-LI/0,50,50,DAY,,0,0,2026-01-16 08:55:00.0,92390LI0-wopRxE1uJ,2026-01-16 14:25:00,E0PwTj3eeVIK,,O0PwTnthDh9V,CSE
