Company Code,Quantity,Avg Price,B.E.S Price,Last,Change,% Change,Accumulate Slowly,Strong Add Zone,Re-evaluate if Market Weak,Pause Buys,Trim Small Portion,Investment_Percentage,Time,Trailing Stop (SELL if below)
ACL.N0000,380,73.7367,74.56,107.00,1.75,1.66,245–250,235–240,Below 230,260–270,280+,5.80%,13:29:03.301165,95
COMB.N0000,670,203.4889,205.77,225.00,0.75,0.33,195–200,185–190,Below 180,210–220,230+,21.58%,13:29:08.884593,205
DIAL.N0000,500,30.2551,30.59,33.90,0.00,0.00,28.5–29.5,26.5–27.5,Below 25.5,31–32,34+,2.26%,13:25:32.042114,28.5
DOCK.N0000,640,115.1465,116.44,140.00,26.25,23.08,,,,,,10.55%,13:29:27.538,
HAYL.N0000,100,209.3183,211.66,,,,,,,,,3.00%,,
HNB.N0000,1,404.4900,409.02,421.75,1.25,0.30,,,,,,0.06%,13:27:10.673937,
JETS.N0000,500,19.4150,19.63,,,,,,,,,1.12%,,
JKH.N0000,3700,21.7009,21.94,21.90,-0.10,-0.45,20.5–21.0,19.0–20.0,Below 18.5,22.5–24,26+,12.42%,13:29:17.867947,21.2
LIOC.N0000,324,133.6219,135.12,139.00,2.50,1.83,127–130,120–124,Below 118,135–140,150+,6.53%,13:24:15.584559,128
LLUB.N0000,100,181.7633,183.80,195.00,4.75,2.50,175-180,165-170,Below 160,190-200,210+,2.81%,13:25:58.218950,180
MELS.N0000,35,195.1618,197.35,180.00,-0.50,-0.28,170–175,160–165,Below 155,185–195,205+,1.16%,13:23:22.643840,165
NTB.N0000,1,317.5200,321.08,345.50,-2.50,-0.72,,,,,,0.05%,13:25:19.992458,305
NTB.X0000,11,397.5618,402.01,395.00,9.50,2.46,,,,,,0.06%,13:46:29.553157,370
SAMP.N0000,1160,145.4456,147.07,156.75,1.50,0.97,140–145,130–135,Below 125,150–155,165+,26.43%,13:28:51.478068,145
SMOT.N0000,10,1684.6600,1703.53,1730.00,79.75,4.83,,,,,,2.04%,13:01:54.299240,
SPEN.N0000,200,148.8992,150.57,159.00,-1.00,-0.62,142-146,135-140,Below 130,155-165,175+,4.74%,13:29:02.133594,150
TJL.N0000,500,35.6954,36.10,35.00,0.10,0.29,,,,,,2.05%,13:28:36.344702,
TKYO.N0000,500,109.2096,110.43,116.00,1.75,1.53,106–110,98–102,Below 95,115–120,130+,8.39%,13:28:11.504459,108
TKYO.X0000,548,87.2429,88.22,96.40,1.30,1.37,84-87,78-82,Below 75,92-98,105+,7.70%,13:28:40.093587,90
