Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
CARS.N0000,CARSON CUMBERBATCH PLC,10,689.75,690.00,1645,690.00,10,-64.75,-8.58,749.00,689.75,698.20,12651,8832947.50,291,754.75,57.74%,13:07:02.214395
PALM.N0000,PALM GARDEN HOTELS PLC,55,71.40,74.70,9,71.00,303,-4.90,-6.46,71.10,70.00,70.52,10467,738184.40,17,75.90,7.39%,12:33:04.701027
LAMB.N0000,KOTMALE HOLDINGS PLC,5,1366.00,1469.75,33,1361.25,2,-38.75,-2.77,1471.00,1361.25,1403.63,56,78603.50,5,1400.00,5.61%,12:34:53.719736
UCAR.N0000,UNION CHEMICALS LANKA PLC,6,1671.00,1744.50,6,1700.00,30,-43.75,-2.51,1749.50,1640.25,1681.69,599,1007334.25,23,1743.75,57.02%,13:02:30.449633
REXP.N0000,RICHARD PIERIS EXPORTS PLC,847,430.00,439.75,386,430.00,153,-9.75,-2.22,454.00,425.00,437.64,3187,1394762.75,68,439.75,77.85%,13:25:51.357678
WLTH.N0000,WEALTHTRUST SECURITIES LIMITED,28238,15.50,15.60,59500,15.60,100,-0.30,-1.89,15.90,15.50,15.61,1399472,21843706.20,637,15.90,7.43%,13:28:59.883954
LGL.N0000,LAUGFS GAS PLC,1495,70.70,71.90,1000,70.70,5,-1.30,-1.81,73.00,70.00,71.55,168851,12080759.60,83,72.00,35.79%,13:21:30.130128
CINV.N0000,CEYLON INVESTMENT PLC,49,124.00,125.00,1500,125.00,1904,-2.00,-1.57,125.50,123.00,124.53,65153,8113553.50,133,127.00,61.51%,13:24:19.001120
CDB.N0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,70,380.00,387.00,2490,380.00,930,-5.00,-1.30,387.00,380.00,380.29,975,370783.75,8,385.00,3.34%,13:15:40.679783
EBCR.N0000,E B CREASY & COMPANY PLC,1500,67.50,67.80,575,67.30,13482,-0.70,-1.03,68.00,67.30,67.41,408144,27513278.00,36,68.00,15.88%,13:15:42.008735
HASU.N0000,HNB ASSURANCE PLC,2878,104.25,105.00,820,105.00,150,-1.00,-0.94,108.00,103.00,104.11,5765,600222.75,24,106.00,4.05%,13:26:39.281689
